time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010504349642	110.844	22.7127	-0.9509	1.25317e+15	2.48347e+13	radar	0	114.916	12.3187	114.699	12.4195	1.90891	-0.175007
1477010505349642	110.844	22.7127	-0.9509	1.27801e+15	2.48347e+13	lidar	0	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683
1477010505349642	113.978	22.7454	4.20359	1.27801e+15	2.48347e+13	radar	0	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683
1477010506349642	113.978	22.7454	4.20359	1.30284e+15	2.48347e+13	lidar	0	118.953	12.0009	118.628	12.2586	2.11648	0.0177712
1477010506349642	116.201	21.9974	8.05245	1.30284e+15	2.48347e+13	radar	0	118.85	12.4063	118.628	12.2586	2.11648	0.0177712
1477010507349642	116.201	21.9974	8.05245	1.32768e+15	2.48347e+13	lidar	0	120.695	12.2918	120.743	12.3289	2.21139	0.128528
1477010507349642	117.158	26.8501	-2.00161	1.32768e+15	2.48348e+13	radar	0	120.934	12.1905	120.743	12.3289	2.21139	0.128528
1477010508349642	117.158	26.8501	-2.00161	1.35251e+15	2.48348e+13	lidar	0	123.568	12.8297	122.95	12.5114	2.29835	0.246599
1477010508349642	117.462	28.0152	1.25981	1.35251e+15	2.48348e+13	radar	0	123.142	12.7694	122.95	12.5114	2.29835	0.246599
1477010509349642	117.462	28.0152	1.25981	1.37735e+15	2.48348e+13	lidar	0	124.894	12.7743	125.242	12.8125	2.37624	0.369827
1477010509349642	123.196	23.5037	-12.5856	1.37735e+15	2.48348e+13	radar	0	125.376	12.9964	125.242	12.8125	2.37624	0.369827
1477010510349642	123.196	23.5037	-12.5856	1.40218e+15	2.48348e+13	lidar	0	127.853	13.3273	127.609	13.2365	2.44434	0.495787
1477010510349642	124.883	23.0661	-13.0518	1.40218e+15	2.48348e+13	radar	0	127.506	13.153	127.609	13.2365	2.44434	0.495787
1477010511349642	124.883	23.0661	-13.0518	1.42702e+15	2.48348e+13	lidar	0	129.947	13.6963	130.042	13.7853	2.50232	0.621879
1477010511349642	125.298	29.405	2.01069	1.42702e+15	2.48349e+13	radar	0	130.334	13.781	130.042	13.7853	2.50232	0.621879
1477010512349642	125.298	29.405	2.01069	1.45185e+15	2.48349e+13	lidar	0	132.092	14.507	132.53	14.458	2.55028	0.74543
1477010512349642	126.343	29.2535	-0.315408	1.45185e+15	2.48348e+13	radar	0	132.447	14.3423	132.53	14.458	2.55028	0.74543
1477010513349642	126.343	29.2535	-0.315408	1.47669e+15	2.48348e+13	lidar	0	135.074	15.0475	135.066	15.2513	2.58865	0.863795
1477010513349642	129.373	31.0398	1.13919	1.47669e+15	2.48349e+13	radar	0	135.127	14.6575	135.066	15.2513	2.58865	0.863795
1477010514349642	129.373	31.0398	1.13919	1.50152e+15	2.48349e+13	lidar	0	137.561	16.2147	137.639	16.1592	2.61821	0.974442
1477010514349642	131.592	31.9697	-1.46262	1.50152e+15	2.48349e+13	radar	0	137.653	16.5145	137.639	16.1592	2.61821	0.974442
